,Movie Name,Year,Character Name,Normalized_name,Genres,Gender,Count
0,mission: impossible ii,2000,Ethan,ETHAN,"Thriller, Action Thrillers, Action/Adventure, Glamorized Spy Film, Action, Spy",M,18059.0
1,the avengers,1998,Emma,EMMA,"Thriller, Adventure, Action/Adventure, Comedy, Action, Spy",F,19870.0
2,man on fire,1987,Samantha,SAMANTHA,"Thriller, Action, Drama, Indie",F,18864.0
3,suspiria,1977,Sarah,SARAH,"Horror, World cinema, Supernatural, Gothic Film, Cult, Coming of age, Slasher",F,19777.0
4,barton fink,1991,Taylor,TAYLOR,"Thriller, Indie, Comedy-drama, Mystery, Period piece, Drama, Comedy, Black comedy",F,10255.0
5,dracula,1979,Jonathan,JONATHAN,Horror,M,16495.0
6,apollo 13,1995,Jack,JACK,"History, Drama, Adventure",M,4080.0
7,goldeneye,1995,Jack,JACK,"Thriller, Action Thrillers, Adventure, Action/Adventure, Glamorized Spy Film, Action, Spy",M,4080.0
8,the usual suspects,1995,Jack,JACK,"Thriller, Ensemble Film, Mystery, Crime Fiction, Crime Thriller, Neo-noir",M,4080.0
9,titanic,1997,Jack,JACK,"Tragedy, Costume drama, Historical fiction, Action/Adventure, Period piece, Drama, Disaster, Romantic drama, Romance Film",M,16162.0
10,superman,1978,Jonathan,JONATHAN,"Science Fiction, Adventure, Superhero movie, Action/Adventure, Family Film, Action",M,13433.0
11,sixteen candles,1984,Samantha,SAMANTHA,"Romantic comedy, Cult, Coming of age, Comedy, Romance Film, Teen",F,8506.0
12,the terminator,1984,Kyle,KYLE,"Thriller, Science Fiction, Indie, Doomsday film, Stop motion, Action/Adventure, Time travel, Action",M,12575.0
13,speed,1994,Jack,JACK,"Thriller, Action/Adventure, Action, Crime Fiction, Adventure",M,3304.0
14,die hard,1988,Alexander,ALEXANDER,"Crime Fiction, Thriller, Action, Action/Adventure",M,14047.0
15,mission: impossible,1996,Ethan,ETHAN,"Thriller, Action/Adventure, Action, Spy",M,6505.0
16,the nightmare before christmas,1993,Jack,JACK,,M,2763.0
17,love actually,2003,Mia,MIA,"Romantic comedy, Ensemble Film, Comedy-drama, Holiday Film, Drama, Comedy, Romance Film",F,10802.0
18,the fast and the furious,2001,Mia,MIA,"Crime Fiction, Thriller, Sports, Action/Adventure, Action, Auto racing",F,6367.0
19,the notebook,2004,Noah,NOAH,"Coming of age, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",M,15647.0
