Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Influence
31186339,the hunger games,2012,Katniss,4,Katniss,KATNISS,inf
22144721,iron man 2,2010,Stark,3,Howard Stark,STARK,inf
146947,spider-man,2002,Osborn,6,Harry Osborn,OSBORN,inf
23808966,bill & ted's excellent adventure,1989,the,2,Billy the Kid,THE,inf
443972,hook,1991,Banning,16,Peter Banning,BANNING,inf
537416,ace ventura: when nature calls,1995,Abbot,2,Grand Abbot,ABBOT,inf
6223567,the man with the golden gun,1974,Hai,3,Hai Fat,HAI,inf
26999426,captain america: the first avenger,2011,Arnim,3,Arnim Zola,ARNIM,inf
46505,airplane!,1980,Kramer,3,Rex Kramer,KRAMER,inf
667372,harry potter and the goblet of fire,2005,Diggory,10,Cedric Diggory,DIGGORY,inf
20926377,hancock,2008,Embrey,14,Ray Embrey,EMBREY,inf
10193,enter the dragon,1973,Ling,3,Mei Ling,LING,inf
707808,snatch,2000,Gorgeous,4,Gorgeous George,GORGEOUS,inf
1025150,saw,2004,Sing,3,Steven Sing,SING,inf
548669,demolition man,1993,Lenina,4,Lenina Huxley,LENINA,inf
25652572,mulan,1998,Mulan,10,Hua Mulan,MULAN,inf
4560,braveheart,1995,Murron,2,Murron MacClannough,MURRON,inf
297111,reservoir dogs,1992,Mr,5,Mr Pink,MR,inf
50957,star wars episode ii: attack of the clones,2002,Jedi,9,Jedi Knight Count Dooku,JEDI,inf
2173342,two mules for sister sara,1970,Hogan,7,Hogan,HOGAN,inf
146236,close encounters of the third kind,1977,Laughlin,2,David Laughlin,LAUGHLIN,inf
17298593,mission: impossible – ghost protocol,2011,Hunt,23,Ethan Hunt,HUNT,inf
10507423,marathon man,1976,Opel,7,Elsa Opel,OPEL,inf
241171,weird science,1985,Donnelly,10,Wyatt Donnelly,DONNELLY,inf
51888,indiana jones and the last crusade,1989,the,15,the Holy Grail,THE,inf
105434,trainspotting,1996,Renton,25,Mark Renton,RENTON,inf
1134155,the misfits,1961,Tabor,11,Roslyn Tabor,TABOR,inf
1814329,stir crazy,1980,Blade,3,Blade,BLADE,inf
1814329,stir crazy,1980,Ramirez,9,Jesus Ramirez,RAMIREZ,inf
413949,peeping tom,1960,Lewis,14,Mark Lewis,LEWIS,inf
413949,peeping tom,1960,Mark,14,Mark Lewis,MARK,inf
557036,la dolce vita,1960,Sylvia,12,Sylvia,SYLVIA,inf
297111,reservoir dogs,1992,Mr,2,Mr Orange,MR,inf
297111,reservoir dogs,1992,Mr,8,Mr White,MR,inf
557036,la dolce vita,1960,Emma,10,Emma,EMMA,inf
62668,the ring,2002,Embry,8,Katie Embry,EMBRY,inf
560511,stripes,1981,Captain,5,Captain Stillman,CAPTAIN,inf
325206,the little shop of horrors,1960,Audrey,5,Audrey Fulquard,AUDREY,inf
325206,the little shop of horrors,1960,Audrey,8,Audrey Jr.'s,AUDREY,inf
325206,the little shop of horrors,1960,Seymour,10,Seymour Krelboyne,SEYMOUR,inf
143809,the fifth element,1997,Leeloo,8,Leeloo,LEELOO,inf
25920477,source code,2011,Rutledge,2,Rutledge,RUTLEDGE,inf
29454281,the help,2011,Aibileen,8,Aibileen Clark,AIBILEEN,inf
53085,toy story,1995,Buzz,29,Buzz Lightyear,BUZZ,inf
28327,stargate,1994,Ra,20,Ra,RA,inf
503573,dazed and confused,1993,Burnett,2,Carl Burnett,BURNETT,inf
5676692,iron man,2008,Stark,26,Stark Industries,STARK,inf
5676692,iron man,2008,Stark,3,Tony Stark,STARK,inf
213251,alien³,1992,Newt,4,Newt,NEWT,inf
618929,ghostbusters ii,1989,the,7,Vigo the Carpathian,THE,inf
142435,jerry maguire,1996,Maguire,3,Jerry Maguire,MAGUIRE,inf
297111,reservoir dogs,1992,Mr,8,Mr Blonde,MR,inf
55720,mulan,1998,Mulan,7,Fa Mulan,MULAN,inf
43849,the apartment,1960,Jeffery,2,Jeffery Sheldrake,JEFFERY,inf
43849,the apartment,1960,Fran,9,Fran Kubelik,FRAN,inf
43849,the apartment,1960,Baxter,12,C. C. Baxter,BAXTER,inf
53964,star wars episode v: the empire strikes back,1980,the,3,Jabba the Hutt,THE,inf
301574,the little mermaid,1989,Triton,2,King Triton,TRITON,inf
2491582,eyes without a face,1960,Christiane,13,Christiane Génessier,CHRISTIANE,inf
2491582,eyes without a face,1960,Louise,7,Louise,LOUISE,inf
2491582,eyes without a face,1960,Jacques,4,Jacques Vernon,JACQUES,inf
2491582,eyes without a face,1960,Vernon,4,Jacques Vernon,VERNON,inf
2821933,the time machine,1960,David,2,David Filby,DAVID,inf
2821933,the time machine,1960,Elois,4,Elois,ELOIS,inf
2821933,the time machine,1960,George,16,James informs George,GEORGE,inf
2821933,the time machine,1960,James,16,James informs George,JAMES,inf
557036,la dolce vita,1960,Marcello,11,Marcello,MARCELLO,inf
557036,la dolce vita,1960,Maddalena,6,Maddalena,MADDALENA,inf
2461592,casino royale,2006,Vesper,2,James establishes Vesper,VESPER,inf
5989305,breathless,1960,Monica,4,Monica Poiccard,MONICA,inf
321496,pirates of the caribbean: the curse of the black pearl,2003,Captain,17,Captain Barbossa,CAPTAIN,inf
99463,the french connection,1971,Nicoli,3,Pierre Nicoli,NICOLI,inf
