Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Mean Difference,Influenced
451866,mission: impossible ii,2000,Ethan,18,Ethan Hunt,ETHAN,15725.466666666667,1
633411,the avengers,1998,Emma,15,Emma Peel,EMMA,14985.966666666667,1
3727473,man on fire,1987,Samantha,4,"Samantha ""Sam"" Balletto",SAMANTHA,14453.5,1
347000,suspiria,1977,Sarah,15,Sarah,SARAH,14372.466666666667,1
483274,point break,1991,Tyler,3,Tyler Endicott,TYLER,14176.666666666668,0
320401,barton fink,1991,Taylor,3,Audrey Taylor,TAYLOR,13892.1,1
1048695,dracula,1979,Jonathan,6,Jonathan Harker,JONATHAN,13219.566666666668,1
751724,i spit on your grave,1978,Matthew,13,Matthew hides,MATTHEW,12837.433333333334,0
5735396,invasion of the body snatchers,1978,Matthew,16,Matthew Bennell,MATTHEW,12837.433333333334,0
142417,apollo 13,1995,Jack,8,Jack Swigert,JACK,12508.133333333335,1
268833,goldeneye,1995,Jack,4,Jack Wade,JACK,12508.133333333335,1
167857,the usual suspects,1995,Jack,3,Jack Baer,JACK,12508.133333333335,1
52371,titanic,1997,Jack,27,Jack Dawson,JACK,12348.266666666668,1
29943,the breakfast club,1985,Andrew,3,Andrew Clark,ANDREW,11099.766666666663,0
17049621,the andromeda strain,1971,Jeremy,2,Jeremy Stone,JEREMY,10936.266666666666,0
362719,superman,1978,Jonathan,2,Jonathan Kent's,JONATHAN,10878.166666666668,1
685977,sixteen candles,1984,Samantha,14,"Samantha ""Sam"" Baker",SAMANTHA,10643.533333333333,1
30327,the terminator,1984,Kyle,14,Kyle Reese,KYLE,10607.133333333331,1
99123,speed,1994,Jack,35,Jack Traven,JACK,10288.2,1
196176,straw dogs,1971,Amy,17,Amy,AMY,10136.900000000001,0
447299,from dusk till dawn,1996,Jacob,10,Jacob,JACOB,8951.533333333336,0
97646,die hard,1988,Alexander,2,Alexander,ALEXANDER,8733.633333333331,1
261237,the gods must be crazy,1980,Andrew,2,Andrew Steyn,ANDREW,8704.033333333333,0
724258,mission: impossible,1996,Ethan,33,Ethan Hunt,ETHAN,8677.6,1
403227,the nightmare before christmas,1993,Jack,11,Jack assigns Lock,JACK,7885.366666666666,1
41528,forrest gump,1994,Taylor,7,Dan Taylor,TAYLOR,7878.966666666667,0
370064,love actually,2003,Mia,3,Mia  ,MIA,7789.1,1
248222,the fast and the furious,2001,Mia,6,Mia,MIA,7618.633333333334,1
1267713,the others,2001,Grace,7,Grace Stewart,GRACE,6960.4,0
62668,the ring,2002,Aidan,7,Aidan,AIDAN,6771.033333333334,0
706878,the last boy scout,1991,Alexander,17,"James ""Jimmy"" Alexander Dix",ALEXANDER,6737.200000000001,0
654530,legends of the fall,1994,Samuel,11,Samuel,SAMUEL,6672.5666666666675,0
1854000,the bourne ultimatum,2007,Noah,15,Noah Vosen,NOAH,6662.5,0
171562,american history x,1998,Cameron,3,Cameron Alexander,CAMERON,6534.799999999999,0
17917662,the notebook,2004,Noah,24,Noah Calhoun,NOAH,6105.4,1
34344124,terminator 2: judgment day,1991,Connor,12,John Connor,CONNOR,6015.1,1
34344124,terminator 2: judgment day,1991,Connor,12,Sarah Connor,CONNOR,6015.1,1
34130,wargames,1983,Joshua,9,Joshua,JOSHUA,6009.133333333339,0
242539,an officer and a gentleman,1982,Zachary,28,"Zachary ""Zack""",ZACHARY,5966.7,1
168593,"good morning, vietnam",1987,Taylor,4,Taylor,TAYLOR,5762.7,1
5735396,invasion of the body snatchers,1978,Elizabeth,13,Elizabeth Driscoll,ELIZABETH,5705.700000000001,1
1428048,the last of the mohicans,1992,Jack,2,Jack Winthrop,JACK,5517.866666666667,1
337740,bram stoker's dracula,1992,Jack,3,Jack Seward's,JACK,5517.866666666667,1
695266,lethal weapon 3,1992,Jack,16,Jack Travis,JACK,5517.866666666667,1
6804043,gladiator,2000,Noah,4,Noah,NOAH,5492.799999999999,1
237303,bruce almighty,2003,Evan,5,Evan Baxter,EVAN,5259.4,0
2046252,le samouraï,1967,Valérie,4,Valérie,VALERIE,5175.133333333331,0
399433,pocahontas,1995,Thomas,4,Thomas,THOMAS,5071.5,0
3600824,a time to kill,1996,Harry,2,Harry Rex Vonner,HARRY,5064.366666666667,1
5878044,picnic at hanging rock,1975,Sara,7,Believing Sara,SARA,5032.966666666666,1
347000,suspiria,1977,Daniel,3,Daniel,DANIEL,4999.700000000001,1
2422489,yellow submarine,1968,Jeremy,5,Jeremy Hillary Boob,JEREMY,4999.266666666667,1
1803595,the changeling,1980,Joseph,6,Joseph Carmichael,JOSEPH,4889.133333333331,0
32252,unbreakable,2000,Elijah,7,Elijah Price,ELIJAH,4881.5,1
91133,the karate kid,1984,Daniel,23,Daniel LaRusso,DANIEL,4869.833333333336,0
454208,the butterfly effect,2004,Evan,9,Evan Treborn,EVAN,4754.933333333334,0
695023,meet the parents,2000,Jack,9,Jack,JACK,4673.6,0
525113,tombstone,1993,Morgan,3,Morgan,MORGAN,4670.2,0
398934,10 things i hate about you,1999,Cameron,14,Michael warns Cameron,CAMERON,4613.5,0
3600824,a time to kill,1996,Jake,15,Jake Brigance,JAKE,4501.4,0
20179415,halloween,1978,Lindsey,2,Lindsey Wallace,LINDSEY,4348.866666666667,1
62668,the ring,2002,Noah,6,Noah,NOAH,4297.633333333331,0
451062,the dead zone,1983,Sarah,5,Sarah Bracknell,SARAH,4290.5,0
129493,dead poets society,1989,Cameron,2,Charlie punches Cameron,CAMERON,4120.3,1
1210303,constantine,2005,Gabriel,8,Gabriel,GABRIEL,4042.7333333333318,0
12064359,cloverfield,2008,Lily,2,Lily,LILY,3949.633333333333,0
26742350,the addams family,1991,Abigail,11,Abigail Craven,ABIGAIL,3876.333333333333,1
666923,the lost world: jurassic park,1997,Owen,6,Nick Van Owen,OWEN,3865.2,1
899442,charade,1963,Brian,2,Brian Cruikshank,BRIAN,3864.833333333332,0
